Pakbon;Filiaal;Datum;Artikel nr;Artikel id;Leverancier;Hoofdgroep;Kleur id;Kleur;Kleur leverancier;Maat;Barcode;Barcode leverancier;Aantal;Material;GN -code;Weight article;Origin;Netto;Kostprijs;Valuta;Kostprijs Valuta
824197;26;10-06-2025;00036537;PG42002;Garcia;Pants denim;EKA00000200022474;4554-bleached;4554-bleached;140;2900075174072;8713215964280;1;COT 100%;62046231;690;CN;600;16,07;CHF;15,11
824197;26;10-06-2025;00036656;PG41018;Garcia;T-shirts.s(incl singlets);EKA00000200022239;4631-salsa;4631-salsa;M;2900075352029;8717519006165;2;COT 73%,PL 27%;61091000;173;TR;150;5,83;CHF;5,48
824197;26;10-06-2025;00036657;PG41223;Garcia;T-shirts.s(incl singlets);EKA00000200016592;292-dark moon;292-dark moon;M;2900075357024;8717519006646;2;COT 60%,PL 40%;61091000;173;TR;150;9,25;CHF;8,70
824197;26;10-06-2025;00036661;PG40050;Garcia;Shirt short sleeves;EKA00000200022151;912-almond;912-almond;L;2900075368044;8717519008053;2;OT 100%;62064000;115;IN;100;13,57;CHF;12,76
824197;26;10-06-2025;00036984;R41202;Garcia;T-shirts.s(incl singlets);EKA00000200022556;9832-bright apple;9832-bright apple;XXXL;2900075856060;8713215877962;1;COT 100%;61091000;173;BD;150;3,51;CHF;3,30
824197;26;10-06-2025;00036987;Q41001;Garcia;T-shirts.s(incl singlets);EKA00000200008276;70-marine;70-marine;XXL;2900075862054;8713215879386;1;COT 100%;61091000;173;BD;150;4,48;CHF;4,21
824197;26;10-06-2025;00036987;Q41001;Garcia;T-shirts.s(incl singlets);EKA00000200019907;50-white;50-white;XL;2900075861040;8713215879256;1;COT 100%;61091000;173;BD;150;4,48;CHF;4,21
824197;26;10-06-2025;00037013;R40206;Garcia;T-shirts.s(incl singlets);EKA00000200019884;53-off white;53-off white;XL;2900075900053;8713215871991;1;RPL 65%,VIS 35%;61099020;173;CN;150;7,49;CHF;7,04
824197;26;10-06-2025;00037013;R40206;Garcia;T-shirts.s(incl singlets);EKA00000200022460;9434 -papaya punch;9434 -papaya punch;XL;2900075901050;8713215872059;1;RPL 65%,VIS 35%;61099020;173;CN;150;6,75;CHF;6,35
824197;26;10-06-2025;00037014;R40207;Garcia;T-shirts.s(incl singlets);EKA00000200016753;60-black;60-black;S;2900076628024;8713215887879;1;COT 69%,PL 23%,MTA 8%;61091000;173;CN;150;6,66;CHF;6,26
824197;26;10-06-2025;00037014;R40207;Garcia;T-shirts.s(incl singlets);EKA00000200016753;60-black;60-black;M;2900076628031;8713215887886;4;COT 69%,PL 23%,MTA 8%;61091000;173;CN;150;6,66;CHF;6,26
824197;26;10-06-2025;00037014;R40207;Garcia;T-shirts.s(incl singlets);EKA00000200016753;60-black;60-black;L;2900076628048;8713215887893;2;COT 69%,PL 23%,MTA 8%;61091000;173;CN;150;6,66;CHF;6,26
824197;26;10-06-2025;00037014;R40207;Garcia;T-shirts.s(incl singlets);EKA00000200022388;3817-safari gold;3817-safari gold;S;2900075902026;8713215887817;1;COT 69%,PL 23%,MTA 8%;61091000;173;CN;150;6,68;CHF;6,28
824197;26;10-06-2025;00037014;R40207;Garcia;T-shirts.s(incl singlets);EKA00000200022388;3817-safari gold;3817-safari gold;M;2900075902033;8713215887824;2;COT 69%,PL 23%,MTA 8%;61091000;173;CN;150;6,67;CHF;6,27
824197;26;10-06-2025;00037015;R40208;Garcia;T-shirts.s(incl singlets);EKA00000200016753;60-black;60-black;L;2900076629045;8713215888081;1;PL 96%,EA 4%;61099020;173;CN;150;6,22;CHF;5,85
